Temperature (K);Thermal expansion 1/K;Elastic modulus (Pa);Poisson's Ratio
273;0,00001456;1,68E+11;0,294
373;0,00001539;1,64E+11;0,294
473;0,00001621;1,58E+11;0,294
573;0,00001686;1,52E+11;0,294
673;0,00001737;1,45E+11;0,294
773;0,00001778;1,37E+11;0,294
873;0,00001812;1,28E+11;0,294
973;0,00001843;1,17E+11;0,294
1073;0,00001872;1,06E+11;0,294
1173;0,00001899;92800000000;0,294
1273;0,00001927;78300000000;0,294
1373;0,00001953;62400000000;0,294
1473;0,00001979;44500000000;0,294
1573;0,00002002;23400000000;0,294
1643;0,00002015;4000000000;0,294
1700;2,75E-05;1,00E+04;0,49
1900;2,96E-05;1,00E+04;0,49
2100;3,20E-05;1,00E+04;0,49
2300;3,45E-05;1,00E+04;0,49
2500;3,73E-05;1,00E+04;0,49
2700;4,04E-05;1,00E+04;0,49
2900;4,36E-05;1,00E+04;0,49
