Temperature (K);Density (kg/m3);Thermal Conductivity (W/m/K);Specific heat (J/kg/K);Note: There must not be any values between solidus and liquidus — the code will compute the mushy zone properties linearly using the Scheil model.
290,85;8063,33;16,2811053;497,52488;
370,85;8042,843;16,9545453;508,14888;
490,85;8004,978;17,9647053;524,08488;
597,15;7924,852;18,8595387;538,20152;
693,15;7829,223;19,6676667;550,95032;
793,15;7761,19;20,5094667;564,23032;
893,15;7700,94;21,3512667;577,51032;
993,15;7647,371;22,1930667;590,79032;
1093,15;7603,587;23,0348667;604,07032;
1193,15;7553,44;23,8766667;617,35032;
1293,15;7499,709;24,822;630,63032;
1393,15;7454,222;25,552;643,91032;
1493,15;7409,688;26,441;657,19032;
1593,15;7365,109;27,292;670,47032;
1643;7344,696;27,413;677,0904;
1700;6972,083;14,381;772,986;
1793,15;6891,367;14,863;807,272;
1893,15;6805,467;15,366;818,607;
1993,15;6720,605;15,852;823,429;
2093,15;6636,767;16,322;827,25;
2193,15;6553,94;16,776;829,531;
2293,15;6472,116;17,215;829,693;
2393,15;6391,287;17,64;829,859;
2493,15;6311,445;18,049;830,028;
2593,15;6232,584;18,443;830,196;
2693,15;6154,694;18,821;830,358;
2773,15;5757,537;18,071;831,83;
2793,15;3812,212;12,105;831,826;
2893,15;1442,426;4,843;831,801;
2993,15;904,089;3,197;831,66;
